Calculation accuracy - 1E-07
  i                               (x, y)        f(x, y)                            S         lambda          angle       delta(X)       delta(Y)       delta(f)                     Gradient
 23     (5,91623113E-01, 3,47995646E-01)     1,6718E-01     (-2,5819E-01, 2,1589E-01)     -2,0657E-03     1,9135E+00     5,3334E-04     -4,4595E-04     -1,1634E-04     (-3,3819E-01, -4,0445E-01)
 24     (5,91500651E-01, 3,49584471E-01)     1,6688E-01     (1,1782E-04, -1,5286E-03)     -1,0394E+00     2,0277E+00     -1,2246E-04     1,5888E-03     -3,0059E-04     (-7,4873E-01, -5,7710E-02)
 25     (5,92354233E-01, 3,48868718E-01)     1,6658E-01     (-4,6680E-01, 3,9143E-01)     -1,8286E-03     1,9115E+00     8,5358E-04     -7,1575E-04     -2,9902E-04     (-3,3790E-01, -4,0296E-01)
 26     (6,16328909E-01, 3,88759120E-01)     1,5512E-01     (-5,6862E-04, -9,4611E-04)     -4,2163E+01     2,6747E+00     2,3975E-02     3,9890E-02     -1,1460E-02     (-2,9609E+00, 1,7796E+00)
 27     (6,22278198E-01, 3,85183516E-01)     1,4309E-01     (-2,9609E+00, 1,7796E+00)     -2,0093E-03     2,0462E+00     5,9493E-03     -3,5756E-03     -1,2028E-02     (-2,4601E-01, -4,0933E-01)
 28     (6,22171203E-01, 3,85271872E-01)     1,4309E-01     (4,4316E-02, -3,6596E-02)     -2,4144E-03     1,2447E+00     -1,0699E-04     8,8357E-05     -4,9222E-06     (-3,0144E-01, -3,6503E-01)
 29     (6,22288587E-01, 3,85200863E-01)     1,4308E-01     (-6,0957E-03, 3,6875E-03)     -1,9257E-02     2,0433E+00     1,1738E-04     -7,1010E-05     -4,7322E-06     (-2,4708E-01, -4,0844E-01)
 30     (6,22183471E-01, 3,85287729E-01)     1,4308E-01     (4,3359E-02, -3,5831E-02)     -2,4243E-03     1,2451E+00     -1,0512E-04     8,6866E-05     -4,7535E-06     (-3,0155E-01, -3,6491E-01)
 31     (6,22298610E-01, 3,85217636E-01)     1,4307E-01     (-6,2183E-03, 3,7855E-03)     -1,8516E-02     2,0405E+00     1,1514E-04     -7,0093E-05     -4,5718E-06     (-2,4812E-01, -4,0758E-01)
 32     (6,22195312E-01, 3,85303060E-01)     1,4307E-01     (4,2426E-02, -3,5085E-02)     -2,4348E-03     1,2454E+00     -1,0330E-04     8,5424E-05     -4,5932E-06     (-3,0167E-01, -3,6479E-01)
 33     (6,22308288E-01, 3,85233862E-01)     1,4306E-01     (-6,3429E-03, 3,8851E-03)     -1,7811E-02     2,0377E+00     1,1298E-04     -6,9198E-05     -4,4194E-06     (-2,4914E-01, -4,0675E-01)
